"66,32,99,91,88,75,19,46,05,59",16,1
"78,09,94,87,53,85,70,88,44,09",158,1
"56,38,34,33,26,88,67,37,76,89",11,1
"571,825,652,007,544,93,353,871,590,461",15,1
"1x89,64x3,158x,74x7,54x6,904x,51x9,6xx6,x241,086x",160,0
"x22x,x219,88x6,89x6,528x,x261,81x7,2x19,0x20,32x7",16,0
"x039,66x9,3x17,858x,x622,40x8,x390,x741,x463,x905",199,0
"24,79,35,97,31,72,30,07,12,00",259,1
"59x0,67x1,6xx1,xx16,8x79,2x89,72x1,x897,4x67,642x",171,0
"11,81,54,86,16,80,91,97,95,51",23,1
"3x48,32x0,0x06,2x7x,888x,245x,029x,x841,4x34,679x",10,0
"8x56,6x7x,9x25,x591,3x43,3x81,88x8,0x78,71x9,962x",150,0
"535,385,805,863,900,418,519,127,182,696",199,1
"296,764,467,200,898,746,532,119,885,961",29,1
"30x0,7x62,14x8,9x56,5xx9,x171,8x14,3x45,1x28,98x8",291,0
"85,36,19,91,50,06,12,44,40,48",119,1
"70,11,81,16,43,72,87,43,03,14",21,1
"207x,x902,144x,1x48,x708,x227,x737,x4x3,25x2,15x2",170,0
"527x,80x1,0x87,765x,6x43,8x07,x79x,x843,x028,x906",299,0
"59,41,35,76,92,93,01,99,65,75",233,1
"66,340,210,195,331,741,385,840,027,346",269,1
"88,99,49,09,63,55,38,18,51,29",286,1
"047,678,359,719,822,651,619,171,355,03",232,1
"71,53,30,86,01,88,49,41,29,22",118,1
"0x41,x6x0,xx11,48x5,x298,53x1,76xx,x395,11x6,x749",192,0
"48x7,94x3,940x,7x96,56x3,014x,x636,564x,x306,088x",224,0
"x727,635x,6xx1,720x,252x,x292,0x77,95x5,176x,x302",28,0
"4x01,x107,766x,18x4,x610,0x85,7x74,9x41,x960,710x",27,0
"2x74,52x0,80x2,36x1,x560,x358,6x07,506x,x667,0x12",180,0
"78,47,73,87,64,86,62,57,66,44",13,1
"47,70,32,68,01,52,43,97,71,43",282,1
"x47x,36x2,x585,8x41,23x8,9x97,5x60,8x91,855x,x179",143,0
"64,18,69,83,88,06,61,42,40,77",140,1
"0x33,01x7,750x,x959,665x,9x72,x4x2,x614,7x17,x157",24,0
"19,66,87,17,78,99,49,84,08,61",19,1
"757x,343x,x059,1x35,x719,94x7,x316,x630,4x06,446x",244,0
"89,52,83,59,41,60,27,57,35,58",11,1
"82,49,74,63,48,06,05,36,54,01",181,1
"72,83,07,64,16,73,82,86,48,05",19,1
"75,83,55,01,55,01,05,74,46,69",189,1
"x990,366x,919x,90x6,53x1,23x5,873x,7xx3,xx26,x8x4",12,0
"281x,x153,128x,884x,x055,30x0,291x,045x,x560,89x9",259,0
"49,26,58,64,14,60,85,56,39,76",24,1
"7x01,2x48,20x1,x663,x435,38x2,43xx,83x3,81x9,9xx4",10,0
"38,36,51,07,65,71,37,97,64,90",155,1
"792,622,110,370,088,405,005,599,382,687",165,1
"30,51,20,99,88,89,90,35,29,52",276,1
"x634,351x,662x,644x,07x5,556x,218x,65x2,623x,6x63",24,0
"45x6,8x95,63x1,x9x8,8x21,712x,x338,366x,74x3,x282",275,0
"17,43,64,78,43,16,05,26,34,56",205,1
"44,97,12,51,21,26,95,18,21,75",264,1
"7x90,4x02,x230,308x,138x,197x,x140,404x,x62x,9xx6",21,0
"4x46,5x51,93x9,887x,58x5,x768,2x38,043x,7x10,x602",122,0
"70,04,44,99,09,79,89,41,39,61",163,1
"28,28,28,82,94,41,68,37,95,72",166,1
"8x73,x252,6x49,639x,x317,74x9,173x,99x5,x05x,394x",277,0
"5x18,07xx,x158,417x,x265,31x5,278x,x017,6x37,3x02",14,0
"34,53,50,36,63,90,97,58,65,28",20,1
"895,832,532,381,55,233,834,766,680,323",278,1
"x178,24x7,245x,950x,29x2,654x,3x35,x765,87xx,30xx",21,0
"44,06,98,02,62,69,74,08,31,89",27,1
"55,70,79,58,75,30,89,79,19,15",264,1
"610x,7x51,x502,x014,638x,70x5,x4x0,x911,828x,x915",191,0
"29,49,53,98,97,82,59,83,88,19",26,1
"744,55,435,580,843,74,241,552,206,178",21,1
"39,13,69,18,03,10,72,59,42,58",15,1
"51,26,77,09,37,44,88,04,05,36",29,1
"95,95,82,13,47,29,29,35,62,80",161,1
"39,85,30,34,40,46,85,46,12,25",258,1
"443x,9x99,73x8,51x8,94x8,x60x,4x17,073x,655x,665x",21,0
"26,86,78,03,16,81,72,09,67,69",202,1
"03,18,21,16,66,80,63,39,90,17",20,1
"x149,x354,x520,x921,325x,13x4,66x8,458x,7x6x,6x2x",111,0
"41,76,71,65,58,23,74,75,55,55",152,1
"71,01,67,09,14,42,99,85,64,44",293,1
"x464,663x,x829,17x2,298x,903x,1x84,70x0,4x53,202x",221,0
"x318,2x86,0x73,xx36,x244,23x2,22x9,50x7,383x,x017",260,0
"59,43,37,52,09,08,96,01,15,18",14,1
"152x,1x77,75xx,073x,239x,x025,1x75,x63x,x322,xx49",108,0
"51,01,92,48,00,35,92,49,19,41",13,1
"68x5,05x3,5x15,708x,394x,9x34,9x94,x688,x404,x326",28,0
"92,11,85,31,25,01,29,71,12,49",25,1
"034x,87x5,2x73,4x19,9x56,251x,52xx,xx33,20xx,x540",17,0
"3x87,8x72,47x2,7x31,3x78,xx62,8x53,x92x,5xx5,44x7",14,0
"88,50,22,54,02,08,81,83,60,79",268,1
"x9x1,06x1,172x,58x9,66xx,x613,x734,6x99,989x,27x0",221,0
"1x84,x139,2x23,xx49,07x6,33x9,10x4,x093,x724,5x41",200,0
"16xx,x019,02x3,69x2,55x1,x67x,97x4,x590,2x30,7x76",238,0
"67,77,55,05,88,15,14,31,62,03",132,1
"77,41,96,98,43,65,77,97,97,84",130,1
"685x,3x51,12x7,2x70,2x30,1x78,961x,71x5,1x95,3x51",23,0
"02x5,5x68,x981,9x43,9xx9,x434,9x71,x959,x377,14x6",20,0
"47,12,47,71,98,39,98,51,22,75",182,1
"x313,709x,945x,67x2,73x4,2x93,2x14,55x6,48x5,x135",178,0
"11,67,82,49,48,15,01,97,33,67",137,1
"955,900,020,576,449,718,021,378,391,914",23,1
"xx35,x375,x668,888x,5x74,678x,34x3,66x5,xx49,29x9",245,0
"104x,69x0,5x16,41x2,3x7x,x4x5,x2x2,3x5x,x315,5x01",15,0
"10x0,x666,36x1,5x78,502x,x474,64x8,08x4,121x,10x3",110,0
"x408,91x5,729x,1x94,x429,067x,4x61,03x2,8x62,6x84",190,0
"x582,9x29,x238,x908,195x,096x,897x,86x3,938x,891x",178,0
"26,15,54,76,98,27,44,03,89,80",229,1
"50x2,95x1,164x,x581,918x,x226,684x,x999,17x1,x989",144,0
"x437,x407,6x15,6x52,881x,14x1,245x,466x,4x17,937x",263,0
"28,33,23,74,74,46,86,85,94,60",26,1
"32,67,02,87,55,77,19,76,92,02",16,1
"03,74,96,52,14,48,06,49,78,08",202,1
"2x08,x412,x880,3x82,91x8,95x1,24x5,x0x2,31x4,796x",263,0
"x645,88x0,0x36,x0x2,43x8,x245,3x23,6x72,410x,x9x0",147,0
"61,64,02,65,46,95,49,18,18,08",19,1
"24,64,47,67,23,48,35,28,06,66",101,1
"xx64,090x,02x6,33xx,23x5,8x23,794x,x059,205x,x103",252,0
"57,59,74,92,03,78,71,16,57,13",122,1
"55,61,70,24,69,67,51,66,02,92",17,1
"63,53,95,91,05,69,86,92,88,28",188,1
"74,14,33,18,82,95,76,49,60,76",201,1
"23,99,37,13,50,46,99,25,14,64",225,1
"18,77,32,75,78,59,53,88,65,25",26,1
"255,823,429,315,883,842,355,151,219,626",112,1
"63,61,65,59,53,42,80,17,01,42",296,1
"586x,x530,294x,7x20,69x1,726x,0x16,0x81,1x83,52x6",16,0
"262,686,168,661,178,190,603,197,981,544",24,1
"189x,x560,x869,x017,x315,433x,21x3,x760,602x,41x4",155,0
"89x1,x647,622x,8x57,x367,4x44,025x,4x50,759x,790x",17,0
"x168,49x3,88x3,x078,42x6,x137,40x3,x077,x939,1x74",16,0
"61,73,71,87,77,67,37,73,05,99",240,1
"75,87,74,16,29,42,40,94,62,02",24,1
"53,96,42,06,81,68,19,08,01,85",27,1
"x276,0x83,x994,94x7,xx96,x064,120x,95x1,1x75,09x3",22,0
"85x2,x936,5x84,3x55,x247,45x2,x652,x805,334x,9x48",244,0
"07,75,69,66,89,20,19,36,81,58",21,1
"14,08,50,68,08,84,77,94,50,91",132,1
"83x5,40x0,x286,38x0,4x59,663x,832x,1x17,x283,34x5",20,0
"07,53,23,62,69,76,76,30,47,84",24,1
"265,322,455,172,347,491,374,587,39,250",257,1
"110x,848x,47x0,5x74,x937,724x,37x5,2x37,168x,47x0",235,0
"90,38,03,95,58,52,97,23,92,05",281,1
"10,29,63,53,48,51,40,77,98,53",198,1
"87,46,17,57,40,89,07,65,49,88",284,1
"26,92,41,28,68,26,10,26,72,45",105,1
"03,43,26,48,40,74,41,10,18,38",296,1
"95,16,87,43,71,33,70,94,08,61",15,1
"36,80,08,09,04,31,57,14,76,77",264,1
"35x0,49x7,66x3,36x9,3x82,723x,4x7x,5x45,250x,6x89",268,0
"83,02,99,92,02,78,76,35,27,84",204,1
"1x4x,7x24,x660,142x,x489,3x9x,x1x5,843x,457x,x645",238,0
"004x,6x09,x486,388x,261x,x905,x245,4x4x,x0x4,26x7",124,0
"x466,721x,42x6,19x3,x6x5,x788,0x07,4x52,27x2,478x",164,0
"39x6,x140,x170,x429,x164,0x33,x91x,3x69,x685,0x64",24,0
"4x15,xx69,421x,93x3,x441,xx57,x66x,x895,9x90,x685",293,0
"566,507,800,500,027,643,926,990,082,368",18,1
